address,city,state,zipcode,size,price
Bowdoin St, Boston, MA,2108,1 bed / 1 bath ,"$2,225/mo"
3 Winter Pl # 3, Boston, MA,2108," 2 beds / 3 baths / 2,250 sqft","$1,825 "
1A Joy St UNIT 2, Boston, MA,2108," 2 beds / 3.5 baths / 1,626 sqft","$5,850/mo"
14 Chestnut St, Boston, MA,2108," 8 beds / 6 baths / 7,308 sqft","$6,895 "
1 Winter Pl # 2, Boston, MA,2108,"2 beds / 3 baths / 3,435 sqft","$10,000/mo"
41 Chestnut St, Boston, MA,2108,"5 beds / 5 baths / 4, 027 sqft","$4,295,000 "
1 Winter Pl # 4, Boston, MA,2108," 2 beds / 3 baths / 3,323 sqft","$3,000,000 "
48 Beacon St APT 1R, Boston, MA,2108," 2 beds / 1.5 baths / 1, 448 sqft","$1,249,000 "
Beacon St, Boston, MA,2108, 1 bed / 1 bath / 508 sqft ,"$2,800/mo"
Mount Vernon St, Boston, MA,2108, 2 beds / 1 bath ,"$2,800/mo"
9 Park St # 46, Boston, MA,2108, 3 beds / 2 baths ,"$9,500/mo"
Bowdoin St, Boston, MA,2108, 1 bed / 1 bath ,"$2,225/mo"
15 River St APT 401, Boston, MA,2108, 2 beds / 2 baths / 778 sqft ,"$729,000 "
89 Beacon St APT 5, Boston, MA,2108," 2 beds / 2 baths / 1,100 sqft","$3,600/mo"
Temple St, Boston, MA,2108," 2 beds / 2 baths / 1,185 sqft","$3,100/mo"
River Street Pl, Boston, MA,2108, 1 bed / 1 bath ,"$2,400/mo"
River St, Boston, MA,2108, 2 beds / 1 bath / 700 sqft ,"$3,150/mo"
8 Winter St, Boston, MA,2108, 1 bed / 1 bath ,"$3,690/mo"
22 River St # 22G, Boston, MA,2108, 2 beds / 1 bath / 800 sqft ,"$3,400/mo"
343 Commercial St UNIT 301, Boston, MA,2109," 2 beds / 2 baths / 1,340 sqft","$1,299,000 "
4 Battery Wharf # 4607, Boston, MA,2109," 2 beds / 2 baths / 1,397 sqft","$1,995,000 "
39-41 Salutation # 2B, Boston, MA,2109, 2 beds / 1.5 baths / 876 sqft ,"$2,850/mo"
108 Fulton St UNIT 2, Boston, MA,2109," 2 beds / 2 baths / 1,236 sqft","$3,800/mo"
357 Commercial St APT 208, Boston, MA,2109, 1 bed / 1 bath / 671 sqft ,"$649,000 "
50 Battery St PH 4, Boston, MA,2109," 3 beds / 4 baths / 2,391 sqft","$2,590,000 "
